,sq_mt_built,n_rooms,n_bathrooms,buy_price,is_renewal_needed,is_new_development,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking,latitud,longitude
1767,40,1,1,135000,0,0,0,0,0,0,0,0,40.4655387,-3.6911629
1768,60,2,1,175000,0,0,1,0,0,1,0,0,40.6774863,-3.9597014
1769,50,1,1,250000,0,0,1,0,0,0,0,0,40.4615576,-3.6971013
1770,48,1,1,195000,0,0,1,0,0,0,0,0,40.4601673,-3.7044535
1771,42,1,1,147000,0,0,1,0,0,0,1,0,40.4533587,-3.7062746
1773,55,1,1,220000,0,0,1,0,0,0,0,0,40.4536697,-3.7028326
1774,64,2,1,245000,0,0,1,0,0,1,0,0,40.4571271,-3.7114483
1775,35,0,1,250000,0,0,1,0,0,0,1,0,40.0647189,-3.6005309
1776,35,1,1,165000,0,0,1,0,0,0,1,0,40.4523717,-3.7103843
1777,60,1,1,127000,0,0,0,0,0,0,0,0,40.6709861,-3.7717067
1778,174,4,3,560000,1,0,1,0,0,0,0,0,40.4497479,-3.6952375
1779,37,1,1,153000,0,0,0,0,0,1,0,0,40.4496069,-3.7102092
1781,115,3,2,575000,0,0,1,0,0,0,0,0,40.44692785,-3.6981747813498034
1782,130,2,2,565000,0,0,1,0,0,1,0,1,40.4567965,-3.6920173
1783,145,3,3,810000,0,0,1,0,0,0,0,0,40.4497479,-3.6952375
1784,92,3,2,365000,0,0,1,0,0,0,0,0,40.4610164,-3.6975602
1785,35,1,1,115000,1,0,0,0,0,0,0,0,40.4563812,-3.7049611
1786,93,3,1,269900,1,0,1,0,0,0,0,0,40.4553294,-3.6979557
1787,77,4,1,199900,1,0,1,0,0,0,0,0,40.4553294,-3.6979557
1788,65,1,1,310000,0,0,1,0,1,1,0,1,40.4496758,-3.710312
1790,143,4,2,620000,0,0,1,0,0,1,0,0,40.4554382,-3.6976983
1791,74,3,1,250000,0,0,1,0,0,0,0,1,40.4741039,-3.3802799
1792,80,3,1,275000,0,0,1,0,0,0,1,0,40.4585804,-3.7005414
1793,61,2,1,250000,0,0,1,0,0,1,0,0,40.447377,-3.699274
1794,167,4,2,650000,1,0,1,0,0,0,0,0,40.449592,-3.6983528
1795,143,5,2,419000,0,0,1,0,0,0,0,0,40.4510674,-3.7033718
1796,50,2,1,250000,0,0,1,0,0,0,1,0,40.4561668,-3.7141801
1797,50,1,1,220000,0,0,1,0,0,0,0,0,40.2280175,-3.9953115
1798,51,1,1,164000,0,0,0,0,0,0,0,0,40.4673625,-3.7015008
1799,54,1,1,228000,0,0,0,0,0,0,0,0,40.4703548,-3.6997845
1800,116,4,1,400000,1,0,1,0,0,1,0,0,40.4562014,-3.7020227
1802,47,1,1,167000,0,0,0,0,0,0,0,0,40.4615507,-3.7054809
1803,58,3,1,185000,0,0,1,0,0,0,1,0,40.4563812,-3.7049611
1804,320,5,3,999999,0,0,1,0,0,1,0,1,40.4576186,-3.6912757
1805,193,4,3,775000,0,0,1,0,0,0,0,0,40.4618632,-3.6937312
1806,90,3,2,595000,0,0,1,0,0,1,0,0,40.4639921,-3.7052752
1807,95,3,2,275000,0,0,1,0,0,0,0,0,40.4531526,-3.6992627
1809,95,3,3,430000,0,0,1,0,0,0,0,1,40.4092523,-3.7010746
1810,90,2,2,426000,1,0,1,0,0,0,0,0,40.4531526,-3.6992627
1811,210,2,2,470000,0,0,1,0,0,0,0,1,40.4516841,-3.7014798
1812,112,4,3,550000,0,0,1,0,0,0,0,0,40.4510674,-3.7033718
1813,72,3,1,375000,0,0,1,0,0,0,0,1,40.4576221,-3.6952356
1814,240,5,4,850000,0,0,1,0,0,1,0,1,40.4611533,-3.6978517
1815,80,1,2,330000,0,0,1,0,0,1,0,0,40.3579474,-3.5500404
1816,92,3,1,260000,0,0,0,0,0,0,0,0,40.5489215,-3.3754251
1817,30,0,1,135000,0,0,1,0,0,1,1,0,40.4615576,-3.6971013
1818,53,1,1,175000,0,0,1,0,0,0,1,0,40.4530918,-3.7058665
1819,34,1,1,195000,0,0,0,0,0,0,0,0,40.449592,-3.6983528
1820,70,2,1,215000,0,0,1,0,0,0,0,0,40.43230335,-3.5297892441176497
1822,126,3,2,350000,1,0,1,0,0,1,0,0,40.4614152,-3.7004055
1823,59,2,1,275000,0,0,1,0,0,0,0,0,40.4510674,-3.7033718
1825,58,1,1,280000,0,0,1,0,0,0,0,0,40.4543797,-3.7015308
1827,55,1,1,155000,0,0,1,0,0,0,0,0,40.467722,-3.7023003
1828,61,2,1,210000,0,0,1,0,0,0,1,0,40.5412429,-3.6292418
1829,51,0,1,164000,0,0,0,0,0,0,0,0,40.4673625,-3.7015008
1830,100,3,1,296000,0,0,1,0,0,1,1,0,40.4503852,-3.7007188
1831,143,3,2,690000,1,0,1,0,0,1,0,0,40.4522528,-3.6973418
1833,64,1,1,260000,0,0,1,0,1,0,1,0,40.31661505,-3.7230442247051
1834,37,1,1,155000,0,0,0,0,0,0,0,0,40.416562,-3.834536
1835,92,3,1,260000,0,0,0,0,0,0,0,0,40.5489215,-3.3754251
1836,66,3,1,186000,0,0,1,0,0,0,0,0,40.4703548,-3.6997845
1837,160,1,1,335000,0,0,1,0,0,0,0,0,40.3911236,-3.1652898
1838,145,3,3,508000,0,0,1,0,1,1,0,1,40.7726753,-3.4974649
1839,70,2,1,279000,0,0,1,0,0,0,0,1,40.4710924,-3.711642
1840,72,3,1,271000,0,0,1,0,0,0,0,0,40.4730457,-3.6908482
1841,70,2,1,247000,0,0,1,0,0,0,1,0,40.416562,-3.834536
1842,32,1,1,139000,0,0,1,0,0,0,0,0,40.4517504,-3.7065932
1843,50,1,1,169000,0,0,0,0,0,1,0,0,40.4576397,-3.6993273
1844,63,1,1,225000,0,0,1,0,0,0,1,0,40.4667913,-3.7115704
1845,51,2,1,159000,0,0,1,0,0,0,0,0,40.4614219,-3.7076059
1847,130,3,2,950000,0,0,1,0,0,1,0,1,40.4589395,-3.6954572
1848,46,1,1,210000,0,0,0,0,0,0,0,0,40.4503852,-3.7007188
1850,35,0,1,105000,0,0,1,0,0,0,0,0,40.4611402,-3.7069814
1851,64,2,1,200000,0,0,0,0,0,0,0,0,40.7457097,-3.7753366
1852,240,5,4,790000,1,0,1,0,0,0,0,0,40.4521077,-3.6952489
1853,75,3,1,190000,1,0,1,0,0,1,0,0,40.4496758,-3.710312
1854,70,1,1,265000,0,0,1,0,0,0,0,0,40.4531526,-3.6992627
1855,53,3,1,271000,0,0,0,0,0,1,0,0,40.4730457,-3.6908482
1856,72,2,1,295000,1,0,1,0,0,0,0,0,40.4922773,-3.343301
1857,100,2,2,360000,0,0,1,0,0,1,0,1,40.4651173,-3.7019822
1858,74,3,1,300000,1,0,1,0,0,0,0,0,40.4465292,-3.6989068
1859,38,1,1,165000,0,0,1,0,0,0,1,0,40.4597131,-3.7077162
1860,73,1,1,210000,0,0,1,0,0,0,1,0,40.4574604,-3.7016899
1862,40,1,1,125000,0,0,0,0,0,0,0,0,40.4510674,-3.7033718
1863,93,1,1,180000,0,0,1,0,1,0,0,0,40.459781,-3.6918002
1864,135,4,2,530000,0,0,1,0,0,0,0,0,40.083082,-3.4984669
1865,118,4,3,530000,1,0,1,0,0,1,0,1,40.436316,-3.8122696
1866,180,2,2,525000,1,0,1,0,0,0,0,0,40.4544731,-3.6981429
1867,46,2,1,170000,0,0,0,0,0,0,0,0,40.4517504,-3.7065932
1868,95,3,3,429900,0,0,0,0,0,0,0,1,40.167298,-3.2751289
1869,75,3,2,189000,0,0,1,0,0,1,0,0,40.3581106,-3.5505686
1870,35,1,1,122000,0,0,0,0,0,0,0,0,40.825264700000005,-3.543641401748094
1871,34,1,1,131250,1,0,0,0,0,0,0,0,40.451787,-3.7049523
1872,70,1,1,369500,0,0,1,0,0,1,0,0,40.083082,-3.4984669
1873,73,2,1,234000,0,0,1,0,0,0,0,0,40.4717703,-3.6993465
1874,173,3,2,375000,0,0,1,0,0,1,0,0,40.4541604,-3.7074411
1875,61,1,1,223000,0,0,1,0,0,0,0,0,40.4603661,-3.7007011
1876,90,2,2,425000,0,0,1,0,0,0,0,0,40.4562,-3.6914564
1877,95,3,2,525000,0,0,1,0,0,0,0,1,40.4562,-3.6914564
1878,77,2,2,315000,0,0,1,0,0,1,1,0,40.4654113,-3.6995616
1879,70,2,1,175000,1,0,1,0,0,0,0,0,40.4568011,-3.7039917
1881,80,2,1,299000,0,0,1,0,0,0,0,0,40.0767764,-3.4938777
1882,67,2,1,176000,0,0,1,0,0,0,0,0,40.434339,-3.6567968
1883,59,2,1,180000,0,0,1,0,0,1,0,0,40.4642442,-3.7061398
1884,58,1,1,315000,0,0,1,0,1,0,0,0,40.083082,-3.4984669
1885,174,4,3,560000,1,0,1,0,0,0,0,0,40.083082,-3.4984669
1886,34,2,1,160000,0,0,0,0,0,0,0,0,40.4576379,-3.6995146
1888,200,5,3,800000,0,0,1,0,0,1,1,1,40.4539145,-3.6915394
1889,55,2,1,144900,1,0,1,0,0,0,0,0,40.4506819,-3.704828
1890,50,1,1,320000,0,0,1,0,0,0,0,0,40.083082,-3.4984669
1892,63,2,1,226900,0,0,0,0,1,0,0,1,40.4680336,-3.7081232
1893,45,1,1,159000,0,0,1,0,0,0,0,0,40.3581295,-3.5325424
1895,311,5,2,725000,0,0,0,0,0,1,0,1,40.3581106,-3.5505686
1896,76,2,1,195000,0,0,1,0,0,0,0,0,40.8467431,-3.796335
1897,100,3,2,330000,1,0,1,0,0,1,0,0,40.2317307,-3.0972791
1898,42,1,1,150000,0,0,1,0,0,0,0,0,40.5519537,-3.3267937
1899,65,1,1,205000,0,0,1,0,0,0,0,0,40.3010437,-3.4358085
1901,239,5,3,990000,0,0,1,0,0,0,0,0,40.4620481,-3.6909773
1902,49,1,1,169900,0,0,1,0,0,0,0,0,40.4604062,-3.7034086
1903,85,3,1,245000,1,0,1,0,0,0,0,0,40.4653709,-3.6935384
1904,130,2,1,670000,0,0,1,0,1,0,0,0,40.4330914,-3.6880071
1905,220,2,2,880000,0,0,1,0,0,1,1,1,40.4330914,-3.6880071
1906,61,2,1,149000,0,0,1,0,0,0,0,0,40.4598048,-3.6992914
1907,97,3,1,295000,0,0,1,0,0,0,0,0,40.6068157,-3.5027036
1908,71,3,1,340000,0,0,1,0,0,0,0,0,40.4531526,-3.6992627
1909,45,2,1,114000,0,0,0,0,0,0,0,0,40.4592325,-3.7074722
1911,70,2,1,299000,0,0,1,0,0,0,0,0,40.2317307,-3.0972791
1912,76,3,1,165000,1,0,1,0,0,1,0,0,40.4680336,-3.7081232
1913,60,3,2,210000,0,0,0,0,0,0,0,0,40.4517504,-3.7065932
1914,150,4,2,510000,1,0,1,0,0,0,0,0,40.4878225,-3.353238
1915,60,2,1,220000,0,0,1,0,0,0,1,0,40.4496758,-3.710312
1916,70,4,1,175000,1,0,1,0,0,0,0,0,40.4598788,-3.694067
1917,54,1,1,228000,0,0,1,0,0,0,0,0,40.4703548,-3.6997845
1918,149,4,2,589200,0,0,0,0,0,0,0,0,40.3404104,-3.828831
1919,125,2,2,630000,1,0,1,0,0,1,0,0,40.4539145,-3.6915394
1920,37,1,1,97260,0,0,1,0,0,0,0,0,40.0294358,-3.6066187
1921,30,2,1,125000,0,0,0,0,0,0,0,0,40.4568065,-3.7087584
1922,49,3,1,250000,0,0,0,0,0,1,0,0,40.192934,-3.6677875
1923,213,4,3,620000,0,0,0,0,0,1,0,1,40.3281415,-3.7622585
1924,50,2,1,159000,1,0,0,0,0,0,0,0,40.4529428,-3.7038989
1925,270,4,3,790000,1,0,0,0,0,1,0,1,40.4480236,-3.6969828
1926,72,3,1,229000,0,0,1,0,0,1,0,1,40.4434107,-3.2767239
1927,42,1,1,169500,0,0,0,0,0,0,0,0,40.4483728,-3.7022972
1928,50,2,1,249000,0,0,0,0,0,0,0,0,40.4639921,-3.7052752
1929,71,1,1,320000,0,0,1,0,0,0,0,1,40.46312315,-3.693238284648518
